time,currency,selling,buying
31-08-20_09:00,USD,7.303,7.369
31-08-20_09:00,USD,7.3019,7.3679
31-08-20_09:01,USD,7.3019,7.3679
31-08-20_09:01,USD,7.3019,7.3679
31-08-20_09:02,USD,7.3019,7.3679
31-08-20_09:03,USD,7.3019,7.3679
31-08-20_09:03,USD,7.3019,7.3679
31-08-20_09:04,USD,7.3019,7.3679
31-08-20_09:04,USD,7.3019,7.3679
31-08-20_09:05,USD,7.3023,7.3683
31-08-20_09:05,USD,7.3023,7.3683
31-08-20_09:06,USD,7.3023,7.3683
31-08-20_09:06,USD,7.3023,7.3683
31-08-20_09:07,USD,7.3019,7.3679
31-08-20_09:07,USD,7.3019,7.3679
31-08-20_09:08,USD,7.3019,7.3679
31-08-20_09:08,USD,7.3019,7.3679
31-08-20_09:09,USD,7.3014,7.3674
31-08-20_09:09,USD,7.3014,7.3674
31-08-20_09:10,USD,7.301,7.367
31-08-20_09:10,USD,7.301,7.367
31-08-20_09:11,USD,7.301,7.367
31-08-20_09:11,USD,7.301,7.367
31-08-20_09:12,USD,7.3005,7.3665
31-08-20_09:12,USD,7.3005,7.3665
31-08-20_09:13,USD,7.3003,7.3663
31-08-20_09:13,USD,7.3003,7.3663
31-08-20_09:14,USD,7.3006,7.3666
31-08-20_09:14,USD,7.3006,7.3666
31-08-20_09:15,USD,7.3006,7.3666
31-08-20_09:15,USD,7.3006,7.3666
31-08-20_09:16,USD,7.3006,7.3666
31-08-20_09:16,USD,7.3006,7.3666
31-08-20_09:17,USD,7.3019,7.3679
31-08-20_09:17,USD,7.3019,7.3679
31-08-20_09:18,USD,7.3021,7.3681
31-08-20_09:18,USD,7.3021,7.3681
31-08-20_09:19,USD,7.3023,7.3683
31-08-20_09:19,USD,7.3023,7.3683
31-08-20_09:20,USD,7.3013,7.3673
31-08-20_09:20,USD,7.3013,7.3673
31-08-20_09:21,USD,7.3006,7.3666
31-08-20_09:21,USD,7.3006,7.3666
31-08-20_09:22,USD,7.3044,7.3704
31-08-20_09:22,USD,7.3043,7.3703
31-08-20_09:23,USD,7.3043,7.3703
31-08-20_09:23,USD,7.3034,7.3694
31-08-20_09:24,USD,7.3034,7.3694
31-08-20_09:24,USD,7.3042,7.3702
31-08-20_09:25,USD,7.3042,7.3702
31-08-20_09:25,USD,7.3044,7.3704
31-08-20_09:26,USD,7.3044,7.3704
31-08-20_09:26,USD,7.305,7.371
31-08-20_09:27,USD,7.305,7.371
31-08-20_09:27,USD,7.3044,7.3704
31-08-20_09:28,USD,7.3044,7.3704
31-08-20_09:28,USD,7.3047,7.3707
31-08-20_09:29,USD,7.3047,7.3707
31-08-20_09:29,USD,7.3047,7.3707
31-08-20_09:30,USD,7.3047,7.3707
31-08-20_09:30,USD,7.3046,7.3706
31-08-20_09:31,USD,7.3046,7.3706
31-08-20_09:31,USD,7.3047,7.3707
31-08-20_09:32,USD,7.3047,7.3707
31-08-20_09:32,USD,7.3064,7.3724
31-08-20_09:33,USD,7.3064,7.3724
31-08-20_09:33,USD,7.3047,7.3707
31-08-20_09:34,USD,7.3047,7.3707
31-08-20_09:34,USD,7.3046,7.3706
31-08-20_09:35,USD,7.3046,7.3706
31-08-20_09:35,USD,7.3044,7.3704
31-08-20_09:36,USD,7.3044,7.3704
31-08-20_09:36,USD,7.3044,7.3704
31-08-20_09:37,USD,7.3044,7.3704
31-08-20_09:37,USD,7.3044,7.3704
31-08-20_09:38,USD,7.3044,7.3704
31-08-20_09:38,USD,7.3044,7.3704
31-08-20_09:39,USD,7.3044,7.3704
31-08-20_09:39,USD,7.3044,7.3704
31-08-20_09:40,USD,7.3063,7.3723
31-08-20_09:40,USD,7.3081,7.3741
31-08-20_09:41,USD,7.3081,7.3741
31-08-20_09:41,USD,7.3097,7.3757
31-08-20_09:42,USD,7.3097,7.3757
31-08-20_09:43,USD,7.3098,7.3758
31-08-20_09:43,USD,7.3098,7.3758
31-08-20_09:44,USD,7.3083,7.3743
31-08-20_09:44,USD,7.3083,7.3743
31-08-20_09:45,USD,7.3094,7.3754
31-08-20_09:45,USD,7.3094,7.3754
31-08-20_09:46,USD,7.3092,7.3752
31-08-20_09:46,USD,7.3092,7.3752
31-08-20_09:47,USD,7.3108,7.3768
31-08-20_09:47,USD,7.3108,7.3768
31-08-20_09:48,USD,7.3095,7.3755
31-08-20_09:48,USD,7.3095,7.3755
31-08-20_09:49,USD,7.3109,7.3769
31-08-20_09:49,USD,7.3109,7.3769
31-08-20_09:50,USD,7.3128,7.3788
31-08-20_09:50,USD,7.3128,7.3788
31-08-20_09:51,USD,7.3139,7.3799
31-08-20_09:51,USD,7.3139,7.3799
31-08-20_09:52,USD,7.3144,7.3804
31-08-20_09:52,USD,7.3144,7.3804
31-08-20_09:53,USD,7.3144,7.3804
31-08-20_09:53,USD,7.3144,7.3804
31-08-20_09:54,USD,7.3144,7.3804
31-08-20_09:54,USD,7.3144,7.3804
31-08-20_09:55,USD,7.3169,7.3829
31-08-20_09:55,USD,7.3169,7.3829
31-08-20_09:56,USD,7.3154,7.3814
31-08-20_09:56,USD,7.3154,7.3814
31-08-20_09:57,USD,7.3182,7.3842
31-08-20_09:57,USD,7.3182,7.3842
31-08-20_09:58,USD,7.3169,7.3829
31-08-20_09:58,USD,7.3169,7.3829
31-08-20_09:59,USD,7.3168,7.3828
31-08-20_09:59,USD,7.3168,7.3828
31-08-20_10:00,USD,7.317,7.383
31-08-20_10:00,USD,7.317,7.383
31-08-20_10:01,USD,7.317,7.383
31-08-20_10:01,USD,7.317,7.383
31-08-20_10:02,USD,7.3171,7.3831
31-08-20_10:02,USD,7.3171,7.3831
31-08-20_10:03,USD,7.3141,7.3801
31-08-20_10:03,USD,7.3141,7.3801
31-08-20_10:04,USD,7.3148,7.3808
31-08-20_10:04,USD,7.3148,7.3808
31-08-20_10:05,USD,7.3132,7.3792
31-08-20_10:05,USD,7.3132,7.3792
31-08-20_10:06,USD,7.3142,7.3802
31-08-20_10:06,USD,7.3142,7.3802
31-08-20_10:07,USD,7.3142,7.3802
31-08-20_10:07,USD,7.3142,7.3802
31-08-20_10:08,USD,7.3146,7.3806
31-08-20_10:08,USD,7.3146,7.3806
31-08-20_10:09,USD,7.3169,7.3829
31-08-20_10:09,USD,7.3169,7.3829
31-08-20_10:10,USD,7.3181,7.3841
31-08-20_10:10,USD,7.3181,7.3841
31-08-20_10:11,USD,7.3193,7.3854
31-08-20_10:11,USD,7.3193,7.3854
31-08-20_10:12,USD,7.3194,7.3855
31-08-20_10:12,USD,7.3194,7.3855
31-08-20_10:13,USD,7.3194,7.3855
31-08-20_10:13,USD,7.3206,7.3867
31-08-20_10:14,USD,7.3206,7.3867
31-08-20_10:14,USD,7.3211,7.3872
31-08-20_10:15,USD,7.3211,7.3872
31-08-20_10:15,USD,7.3221,7.3883
31-08-20_10:16,USD,7.3221,7.3883
31-08-20_10:16,USD,7.3192,7.3853
31-08-20_10:17,USD,7.3192,7.3853
31-08-20_10:17,USD,7.3189,7.385
31-08-20_10:18,USD,7.3189,7.385
31-08-20_10:18,USD,7.3201,7.3862
31-08-20_10:19,USD,7.3201,7.3862
31-08-20_10:19,USD,7.3204,7.3865
31-08-20_10:20,USD,7.3204,7.3865
31-08-20_10:20,USD,7.3204,7.3865
31-08-20_10:21,USD,7.3204,7.3865
31-08-20_10:22,USD,7.3196,7.3857
31-08-20_10:22,USD,7.3196,7.3857
31-08-20_10:23,USD,7.32,7.3861
31-08-20_10:23,USD,7.32,7.3861
31-08-20_10:24,USD,7.3201,7.3862
