time,currency,selling,buying
31-08-20_09:00,USD,7.32675,7.39475
31-08-20_09:00,USD,7.32675,7.39475
31-08-20_09:01,USD,7.32675,7.39475
31-08-20_09:02,USD,7.32675,7.39475
31-08-20_09:02,USD,7.32675,7.39475
31-08-20_09:03,USD,7.32675,7.39475
31-08-20_09:03,USD,7.32675,7.39475
31-08-20_09:04,USD,7.32675,7.39475
31-08-20_09:04,USD,7.32675,7.39475
31-08-20_09:05,USD,7.32675,7.39475
31-08-20_09:06,USD,7.32675,7.39475
31-08-20_09:06,USD,7.32675,7.39475
31-08-20_09:07,USD,7.32675,7.39475
31-08-20_09:07,USD,7.32675,7.39475
31-08-20_09:08,USD,7.32675,7.39475
31-08-20_09:08,USD,7.32675,7.39475
31-08-20_09:09,USD,7.32675,7.39475
31-08-20_09:09,USD,7.32406,7.39206
31-08-20_09:10,USD,7.32406,7.39206
31-08-20_09:11,USD,7.32406,7.39206
31-08-20_09:11,USD,7.32406,7.39206
31-08-20_09:12,USD,7.32406,7.39206
31-08-20_09:12,USD,7.32406,7.39206
31-08-20_09:13,USD,7.32406,7.39206
31-08-20_09:13,USD,7.32406,7.39206
31-08-20_09:14,USD,7.32406,7.39206
31-08-20_09:15,USD,7.32675,7.39475
31-08-20_09:15,USD,7.32675,7.39475
31-08-20_09:16,USD,7.32675,7.39475
31-08-20_09:16,USD,7.32406,7.39206
31-08-20_09:17,USD,7.32406,7.39206
31-08-20_09:17,USD,7.32675,7.39475
31-08-20_09:18,USD,7.32675,7.39475
31-08-20_09:18,USD,7.32675,7.39475
31-08-20_09:19,USD,7.32675,7.39475
31-08-20_09:20,USD,7.32675,7.39475
31-08-20_09:20,USD,7.32675,7.39475
31-08-20_09:21,USD,7.32675,7.39475
31-08-20_09:21,USD,7.32944,7.39744
31-08-20_09:22,USD,7.32944,7.39744
31-08-20_09:22,USD,7.32944,7.39744
31-08-20_09:23,USD,7.32944,7.39744
31-08-20_09:24,USD,7.32944,7.39744
31-08-20_09:24,USD,7.32675,7.39475
31-08-20_09:25,USD,7.32675,7.39475
31-08-20_09:25,USD,7.32675,7.39475
31-08-20_09:26,USD,7.32944,7.39744
31-08-20_09:26,USD,7.32944,7.39744
31-08-20_09:27,USD,7.32944,7.39744
31-08-20_09:28,USD,7.32944,7.39744
31-08-20_09:28,USD,7.32944,7.39744
31-08-20_09:29,USD,7.32944,7.39744
31-08-20_09:29,USD,7.32944,7.39744
31-08-20_09:30,USD,7.32945,7.39745
31-08-20_09:30,USD,7.32944,7.39744
31-08-20_09:31,USD,7.32675,7.39475
31-08-20_09:31,USD,7.32945,7.39745
31-08-20_09:32,USD,7.32944,7.39744
31-08-20_09:33,USD,7.32944,7.39744
31-08-20_09:33,USD,7.32944,7.39744
31-08-20_09:34,USD,7.32944,7.39744
31-08-20_09:34,USD,7.32944,7.39744
31-08-20_09:35,USD,7.32944,7.39744
31-08-20_09:35,USD,7.32944,7.39744
31-08-20_09:36,USD,7.32944,7.39744
31-08-20_09:37,USD,7.32944,7.39744
31-08-20_09:37,USD,7.32944,7.39744
31-08-20_09:38,USD,7.32944,7.39744
31-08-20_09:38,USD,7.32944,7.39744
31-08-20_09:39,USD,7.32944,7.39744
31-08-20_09:39,USD,7.32675,7.39475
31-08-20_09:40,USD,7.32944,7.39744
31-08-20_09:41,USD,7.33214,7.40014
31-08-20_09:41,USD,7.33214,7.40014
31-08-20_09:42,USD,7.33214,7.40014
31-08-20_09:42,USD,7.33214,7.40014
31-08-20_09:43,USD,7.33214,7.40014
31-08-20_09:43,USD,7.33214,7.40014
31-08-20_09:44,USD,7.33214,7.40014
31-08-20_09:44,USD,7.33483,7.40283
31-08-20_09:45,USD,7.33483,7.40283
31-08-20_09:46,USD,7.33214,7.40014
31-08-20_09:46,USD,7.33483,7.40283
31-08-20_09:47,USD,7.33483,7.40283
31-08-20_09:47,USD,7.33214,7.40014
31-08-20_09:48,USD,7.33483,7.40283
31-08-20_09:48,USD,7.33483,7.40283
31-08-20_09:49,USD,7.33483,7.40283
31-08-20_09:50,USD,7.33483,7.40283
31-08-20_09:50,USD,7.33483,7.40283
31-08-20_09:51,USD,7.33483,7.40283
31-08-20_09:51,USD,7.34023,7.40823
31-08-20_09:52,USD,7.33754,7.40554
31-08-20_09:52,USD,7.34023,7.40823
31-08-20_09:53,USD,7.34023,7.40823
31-08-20_09:53,USD,7.34023,7.40823
31-08-20_09:54,USD,7.34023,7.40823
31-08-20_09:55,USD,7.32408,7.39208
31-08-20_09:55,USD,7.32408,7.39208
31-08-20_09:56,USD,7.34023,7.40823
31-08-20_09:56,USD,7.34023,7.40823
31-08-20_09:57,USD,7.34023,7.40823
31-08-20_09:57,USD,7.34294,7.41094
31-08-20_09:58,USD,7.34294,7.41094
31-08-20_09:59,USD,7.34023,7.40823
31-08-20_09:59,USD,7.34023,7.40823
31-08-20_10:00,USD,7.34023,7.40823
31-08-20_10:00,USD,7.34023,7.40823
31-08-20_10:01,USD,7.34023,7.40823
31-08-20_10:01,USD,7.34023,7.40823
31-08-20_10:02,USD,7.34023,7.40823
31-08-20_10:03,USD,7.34023,7.40823
31-08-20_10:03,USD,7.34023,7.40823
31-08-20_10:04,USD,7.34023,7.40823
31-08-20_10:04,USD,7.33753,7.40553
31-08-20_10:05,USD,7.33753,7.40553
31-08-20_10:05,USD,7.33753,7.40553
31-08-20_10:06,USD,7.34023,7.40823
31-08-20_10:06,USD,7.34023,7.40823
31-08-20_10:07,USD,7.34023,7.40823
31-08-20_10:08,USD,7.34023,7.40823
31-08-20_10:08,USD,7.34023,7.40823
31-08-20_10:09,USD,7.32408,7.39208
